metadata_deputy_id,personal_apellidos,personal_nombre,personal_circunscripcion_asamblea,personal_fecha_eleccion_designacion,metadata_numero_registro,metadata_tipo_declaracion,seccion,actividad_cargo,actividad_descripcion,actividad_fecha,actividad_index,actividad_notas,actividad_remuneracion,actividad_tipo,firma_fecha_firma,firma_nombre,metadata_archivo_origen,metadata_numero_libro,metadata_tipo_documento,observaciones_extraccion,otros_intereses_texto,seccion_i_descripcion,seccion_ii_descripcion,seccion_iii_descripcion,seccion_iv_descripcion
000002,Cabezón Casas,Tomás,Soria,31 de julio de 2023,Nº Act 2,Registro de Intereses - Actividades,actividades_previas,,,,7.0,,,"Actividades de producción y creación literaria, científica, artística o técnica",,,deputy_000002_interests_registro_intereses_diputado_2.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene repeticiones y notas legales que pueden no ser relevantes para la estructura del JSON."", ""Algunas secciones del documento no contienen información específica.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000002,Cabezón Casas,Tomás,Soria,31 de julio de 2023,Nº Act 2,Registro de Intereses - Actividades,actividades_previas,,La autorización de esta actividad se realiza con la cautela de que no suponga el desempeño de otro puesto público o privado o incurra en algunas de las actividades prohibidas del artículo 159.2 LOREG,,8.0,,,Actividades privadas autorizadas,,,deputy_000002_interests_registro_intereses_diputado_2.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene repeticiones y notas legales que pueden no ser relevantes para la estructura del JSON."", ""Algunas secciones del documento no contienen información específica.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000004,Alcaraz Martos,Francisco José,Jaén,1 de agosto de 2023,3,XV LEGISLATURA,actividades_previas,,,,0.0,,,Cargos públicos,,,deputy_000004_interests_registro_intereses_diputado_4.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene algunas secciones vacías que han sido reflejadas como nulas en el JSON."", ""La imagen mencionada (img-0.jpeg) no ha sido procesada.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000004,Alcaraz Martos,Francisco José,Jaén,1 de agosto de 2023,3,XV LEGISLATURA,actividades_previas,,,,1.0,,,Actividades públicas a las que ha renunciado,,,deputy_000004_interests_registro_intereses_diputado_4.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene algunas secciones vacías que han sido reflejadas como nulas en el JSON."", ""La imagen mencionada (img-0.jpeg) no ha sido procesada.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000004,Alcaraz Martos,Francisco José,Jaén,1 de agosto de 2023,3,XV LEGISLATURA,actividades_previas,,,,2.0,,,Prestaciones de derechos pasivos,,,deputy_000004_interests_registro_intereses_diputado_4.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene algunas secciones vacías que han sido reflejadas como nulas en el JSON."", ""La imagen mencionada (img-0.jpeg) no ha sido procesada.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000004,Alcaraz Martos,Francisco José,Jaén,1 de agosto de 2023,3,XV LEGISLATURA,actividades_previas,,,,3.0,,,Prestaciones de derechos pasivos renunciadas,,,deputy_000004_interests_registro_intereses_diputado_4.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene algunas secciones vacías que han sido reflejadas como nulas en el JSON."", ""La imagen mencionada (img-0.jpeg) no ha sido procesada.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000004,Alcaraz Martos,Francisco José,Jaén,1 de agosto de 2023,3,XV LEGISLATURA,actividades_previas,,Pensión de viudedad. Fecha del acuerdo plenario definitivo: 19.12.2023,,4.0,,,Prestaciones consideradas compatibles,,,deputy_000004_interests_registro_intereses_diputado_4.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene algunas secciones vacías que han sido reflejadas como nulas en el JSON."", ""La imagen mencionada (img-0.jpeg) no ha sido procesada.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000004,Alcaraz Martos,Francisco José,Jaén,1 de agosto de 2023,3,XV LEGISLATURA,actividades_previas,,,,5.0,,,Actividades docentes extraordinarias,,,deputy_000004_interests_registro_intereses_diputado_4.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene algunas secciones vacías que han sido reflejadas como nulas en el JSON."", ""La imagen mencionada (img-0.jpeg) no ha sido procesada.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000004,Alcaraz Martos,Francisco José,Jaén,1 de agosto de 2023,3,XV LEGISLATURA,actividades_previas,,,,6.0,,,Cargos en partidos o grupos parlamentarios,,,deputy_000004_interests_registro_intereses_diputado_4.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene algunas secciones vacías que han sido reflejadas como nulas en el JSON."", ""La imagen mencionada (img-0.jpeg) no ha sido procesada.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000004,Alcaraz Martos,Francisco José,Jaén,1 de agosto de 2023,3,XV LEGISLATURA,actividades_previas,,,,7.0,,,"Actividades de producción y creación literaria, científica, artística o técnica",,,deputy_000004_interests_registro_intereses_diputado_4.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene algunas secciones vacías que han sido reflejadas como nulas en el JSON."", ""La imagen mencionada (img-0.jpeg) no ha sido procesada.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000004,Alcaraz Martos,Francisco José,Jaén,1 de agosto de 2023,3,XV LEGISLATURA,actividades_previas,,,,8.0,,,Actividades privadas autorizadas,,,deputy_000004_interests_registro_intereses_diputado_4.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene algunas secciones vacías que han sido reflejadas como nulas en el JSON."", ""La imagen mencionada (img-0.jpeg) no ha sido procesada.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000004,Alcaraz Martos,Francisco José,Jaén,1 de agosto de 2023,3,XV LEGISLATURA,actividades_previas,,"Declaración de Actividades, de 1 de agosto de 2023",,9.0,,,Otras Actividades,,,deputy_000004_interests_registro_intereses_diputado_4.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene algunas secciones vacías que han sido reflejadas como nulas en el JSON."", ""La imagen mencionada (img-0.jpeg) no ha sido procesada.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000004,Alcaraz Martos,Francisco José,Jaén,1 de agosto de 2023,3,XV LEGISLATURA,otros_intereses,,,,,,,,,,deputy_000004_interests_registro_intereses_diputado_4.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene algunas secciones vacías que han sido reflejadas como nulas en el JSON."", ""La imagen mencionada (img-0.jpeg) no ha sido procesada.""]","La autorización de esta actividad se realiza con la cautela de que no suponga el desempeño de otro puesto público o privado o incurra en algunas de las actividades prohibidas del artículo 159.2 LOREG. Las actividades privadas se autorizan en la medida en que no incurran en los supuestos del artículo 159.2 de la LOREG, con las cautelas de no invocar la condición de parlamentario, no menoscabar la dedicación parlamentaria, y no incurrir en actividades prohibidas del artículo 159.2.",Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000005,Ramírez Moreno,María de las Nieves,Málaga,1 de agosto de 2023,5,XV LEGISLATURA,actividades_previas,,"Concejala del Ayuntamiento de Torrox (Málaga), sin percibir ningún tipo de remuneración, salvo indemnización por asistencia a órganos de la Corporación.",19.12.2023,0.0,,,Cargos públicos,,,deputy_000005_interests_registro_intereses_diputado_5.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""La fecha de acuerdo plenario definitivo aparece repetida en varias secciones"", ""No se incluye información sobre donaciones o contribuciones a fundaciones"", ""La información sobre la firma y fecha de firma no está presente en el texto OCR proporcionado""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000005,Ramírez Moreno,María de las Nieves,Málaga,1 de agosto de 2023,5,XV LEGISLATURA,actividades_previas,,"Vocal de la Comisión Ejecutiva Federal del PSOE, sin retribución.",19.12.2023,1.0,,,Cargos en partidos ó grupos parlamentarios,,,deputy_000005_interests_registro_intereses_diputado_5.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""La fecha de acuerdo plenario definitivo aparece repetida en varias secciones"", ""No se incluye información sobre donaciones o contribuciones a fundaciones"", ""La información sobre la firma y fecha de firma no está presente en el texto OCR proporcionado""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000005,Ramírez Moreno,María de las Nieves,Málaga,1 de agosto de 2023,5,XV LEGISLATURA,actividades_previas,,Secretaria General del PSOE en Torrox (Málaga).,19.12.2023,2.0,,,Cargos en partidos ó grupos parlamentarios,,,deputy_000005_interests_registro_intereses_diputado_5.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""La fecha de acuerdo plenario definitivo aparece repetida en varias secciones"", ""No se incluye información sobre donaciones o contribuciones a fundaciones"", ""La información sobre la firma y fecha de firma no está presente en el texto OCR proporcionado""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000005,Ramírez Moreno,María de las Nieves,Málaga,1 de agosto de 2023,5,XV LEGISLATURA,otros_intereses,,,,,,,,,,deputy_000005_interests_registro_intereses_diputado_5.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""La fecha de acuerdo plenario definitivo aparece repetida en varias secciones"", ""No se incluye información sobre donaciones o contribuciones a fundaciones"", ""La información sobre la firma y fecha de firma no está presente en el texto OCR proporcionado""]","Declaración de Actividades, de 1 de agosto de 2023. La autorización de esta actividad se realiza con la cautela de que no suponga el desempeño de otro puesto público o privado o incurra en algunas de las actividades prohibidas del artículo 159.2 LOREG. Las actividades privadas se autorizan en la medida en que no incurran en los supuestos del artículo 159.2 de la LOREG, con las cautelas de no invocar la condición de parlamentario, no menoscabar la dedicación parlamentaria, y no incurrir en actividades prohibidas del artículo 159.2",Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000007,Conde Bajén,Agustín,Toledo,1 de agosto de 2023,,XV LEGISLATURA,actividades_previas,,Alférez de Fragata del Cuerpo General de la Armada. Reservista voluntario.,19.12.2023,0.0,,,Cargos públicos,,,deputy_000007_interests_registro_intereses_diputado_7.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""La sección de donaciones y contribuciones a fundaciones no contiene información."", ""La sección de otros intereses u observaciones no contiene información."", ""La firma y fecha no están presentes en el documento."", ""Algunas secciones del documento pueden estar incompletas debido a la calidad del texto OCR.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000007,Conde Bajén,Agustín,Toledo,1 de agosto de 2023,,XV LEGISLATURA,actividades_previas,,Vocal del Comité Ejecutivo Regional del PP de Castilla-La Mancha.,19.12.2023,1.0,,,Cargos en partidos ó grupos parlamentarios,,,deputy_000007_interests_registro_intereses_diputado_7.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""La sección de donaciones y contribuciones a fundaciones no contiene información."", ""La sección de otros intereses u observaciones no contiene información."", ""La firma y fecha no están presentes en el documento."", ""Algunas secciones del documento pueden estar incompletas debido a la calidad del texto OCR.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000007,Conde Bajén,Agustín,Toledo,1 de agosto de 2023,,XV LEGISLATURA,actividades_previas,,Vocal del Comité Ejecutivo Provincial del PP de la provincia de Toledo.,19.12.2023,2.0,,,Cargos en partidos ó grupos parlamentarios,,,deputy_000007_interests_registro_intereses_diputado_7.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""La sección de donaciones y contribuciones a fundaciones no contiene información."", ""La sección de otros intereses u observaciones no contiene información."", ""La firma y fecha no están presentes en el documento."", ""Algunas secciones del documento pueden estar incompletas debido a la calidad del texto OCR.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000007,Conde Bajén,Agustín,Toledo,1 de agosto de 2023,,XV LEGISLATURA,actividades_previas,,"Miembro del Consejo Social de la Ciudad de Toledo, sin retribución.",19.12.2023,3.0,,,Actividades privadas autorizadas,,,deputy_000007_interests_registro_intereses_diputado_7.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""La sección de donaciones y contribuciones a fundaciones no contiene información."", ""La sección de otros intereses u observaciones no contiene información."", ""La firma y fecha no están presentes en el documento."", ""Algunas secciones del documento pueden estar incompletas debido a la calidad del texto OCR.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000007,Conde Bajén,Agustín,Toledo,1 de agosto de 2023,,XV LEGISLATURA,actividades_previas,,"Miembro de la Junta de Protectores de la Real Fundación de Toledo, sin retribución.",19.12.2023,4.0,,,Actividades privadas autorizadas,,,deputy_000007_interests_registro_intereses_diputado_7.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""La sección de donaciones y contribuciones a fundaciones no contiene información."", ""La sección de otros intereses u observaciones no contiene información."", ""La firma y fecha no están presentes en el documento."", ""Algunas secciones del documento pueden estar incompletas debido a la calidad del texto OCR.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000007,Conde Bajén,Agustín,Toledo,1 de agosto de 2023,,XV LEGISLATURA,actividades_previas,,"Miembro del Consejo de Administración del Instituto de Liderazgo Político S.L., que no presta servicio alguno, ni percibe ingresos de ningún organismo perteneciente al sector público institucional o empresarial.",19.12.2023,5.0,,,Actividades privadas autorizadas,,,deputy_000007_interests_registro_intereses_diputado_7.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""La sección de donaciones y contribuciones a fundaciones no contiene información."", ""La sección de otros intereses u observaciones no contiene información."", ""La firma y fecha no están presentes en el documento."", ""Algunas secciones del documento pueden estar incompletas debido a la calidad del texto OCR.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000007,Conde Bajén,Agustín,Toledo,1 de agosto de 2023,,XV LEGISLATURA,actividades_previas,,Abogado en ejercicio y consultor jurídico sin prestar servicio alguno al sector público institucional o empresarial.,19.12.2023,6.0,,,Actividades privadas autorizadas,,,deputy_000007_interests_registro_intereses_diputado_7.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""La sección de donaciones y contribuciones a fundaciones no contiene información."", ""La sección de otros intereses u observaciones no contiene información."", ""La firma y fecha no están presentes en el documento."", ""Algunas secciones del documento pueden estar incompletas debido a la calidad del texto OCR.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000007,Conde Bajén,Agustín,Toledo,1 de agosto de 2023,,XV LEGISLATURA,actividades_previas,,"Académico de Número de la Academia de Ciencias Sociales y Humanidades de Castilla-La Mancha, sin retribución.",19.12.2023,7.0,,,Actividades privadas autorizadas,,,deputy_000007_interests_registro_intereses_diputado_7.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""La sección de donaciones y contribuciones a fundaciones no contiene información."", ""La sección de otros intereses u observaciones no contiene información."", ""La firma y fecha no están presentes en el documento."", ""Algunas secciones del documento pueden estar incompletas debido a la calidad del texto OCR.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000007,Conde Bajén,Agustín,Toledo,1 de agosto de 2023,,XV LEGISLATURA,actividades_previas,,Asesor del Grupo Parlamentario Popular en el Congreso de los Diputados con fecha de cese de 16 de agosto de 2023.,19.12.2023,8.0,,,Actividades privadas autorizadas,,,deputy_000007_interests_registro_intereses_diputado_7.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""La sección de donaciones y contribuciones a fundaciones no contiene información."", ""La sección de otros intereses u observaciones no contiene información."", ""La firma y fecha no están presentes en el documento."", ""Algunas secciones del documento pueden estar incompletas debido a la calidad del texto OCR.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
